time_start_sec,time_end_sec,freq_start_hz,freq_end_hz,energy
3.1,3.2,400.0,450.0,0.04366905242204666
25.2,25.3,250.0,300.0,0.043015748262405396
19.6,19.7,350.0,400.0,0.04290742054581642
31.8,31.9,200.0,250.0,0.04290701448917389
19.7,19.8,350.0,400.0,0.042772501707077026
6.7,6.8,400.0,450.0,0.0426887571811676
13.1,13.2,400.0,450.0,0.042500756680965424
28.8,28.9,250.0,300.0,0.04242948442697525
5.9,6.0,300.0,350.0,0.042368561029434204
3.7,3.8,100.0,150.0,0.04235130921006203
17.1,17.2,200.0,250.0,0.041905660182237625
32.9,33.0,100.0,150.0,0.04179384931921959
3.3,3.4,250.0,300.0,0.04154156893491745
16.3,16.4,400.0,450.0,0.04104917496442795
19.5,19.6,350.0,400.0,0.040902700275182724
31.9,32.0,200.0,250.0,0.0407644547522068
7.3,7.4,400.0,450.0,0.04066814109683037
21.5,21.6,400.0,450.0,0.0404747873544693
24.2,24.3,300.0,350.0,0.04019298776984215
5.4,5.5,250.0,300.0,0.03993450850248337
34.8,34.9,250.0,300.0,0.03982175141572952
8.3,8.4,250.0,300.0,0.039786022156476974
7.4,7.5,400.0,450.0,0.03954773768782616
19.8,19.9,350.0,400.0,0.03911486268043518
24.4,24.5,100.0,150.0,0.039087437093257904
17.6,17.7,300.0,350.0,0.03899647295475006
4.8,4.9,100.0,150.0,0.03896726295351982
25.1,25.2,250.0,300.0,0.038950130343437195
23.1,23.2,200.0,250.0,0.038059085607528687
14.7,14.8,200.0,250.0,0.03777598589658737
10.6,10.7,200.0,250.0,0.03777289763092995
7.8,7.9,400.0,450.0,0.03776711970567703
28.9,29.0,200.0,250.0,0.03769851103425026
24.8,24.9,300.0,350.0,0.037652552127838135
3.0,3.1,200.0,250.0,0.03761538863182068
11.0,11.1,200.0,250.0,0.037588510662317276
8.6,8.7,250.0,300.0,0.03748573362827301
8.4,8.5,400.0,450.0,0.03746563941240311
9.3,9.4,250.0,300.0,0.03729227930307388
17.8,17.9,300.0,350.0,0.03723885864019394
29.1,29.2,200.0,250.0,0.03700970485806465
33.9,34.0,100.0,150.0,0.036941684782505035
25.8,25.9,250.0,300.0,0.03691335767507553
13.4,13.5,300.0,350.0,0.036816757172346115
22.4,22.5,200.0,250.0,0.036813851445913315
20.2,20.3,200.0,250.0,0.03664673864841461
11.2,11.3,100.0,150.0,0.036645568907260895
15.0,15.1,200.0,250.0,0.03650829941034317
31.4,31.5,100.0,150.0,0.0362381674349308
32.0,32.1,100.0,150.0,0.036125991493463516
9.6,9.7,250.0,300.0,0.03607635200023651
14.0,14.1,200.0,250.0,0.03592207282781601
5.6,5.7,400.0,450.0,0.03587375581264496
8.9,9.0,200.0,250.0,0.0354449562728405
13.6,13.7,300.0,350.0,0.035303182899951935
22.6,22.7,200.0,250.0,0.035263191908597946
29.8,29.9,200.0,250.0,0.035093292593955994
8.2,8.3,400.0,450.0,0.03508366271853447
24.7,24.8,300.0,350.0,0.03484483063220978
34.9,35.0,250.0,300.0,0.03453826531767845
9.4,9.5,400.0,450.0,0.03451091796159744
12.0,12.1,100.0,150.0,0.03430750221014023
16.6,16.7,100.0,150.0,0.03417099267244339
21.4,21.5,400.0,450.0,0.03395355865359306
24.1,24.2,300.0,350.0,0.033939428627491
13.0,13.1,100.0,150.0,0.033819492906332016
22.1,22.2,400.0,450.0,0.03379637748003006
18.1,18.2,250.0,300.0,0.03378156200051308
12.2,12.3,400.0,450.0,0.03353044390678406
9.7,9.8,250.0,300.0,0.03339789807796478
28.1,28.2,250.0,300.0,0.03339692950248718
11.5,11.6,300.0,350.0,0.03317500278353691
16.8,16.9,300.0,350.0,0.03305191919207573
3.2,3.3,250.0,300.0,0.03263159841299057
19.4,19.5,100.0,150.0,0.032355379313230515
15.7,15.8,200.0,250.0,0.03221578150987625
25.0,25.1,200.0,250.0,0.032104939222335815
11.7,11.8,100.0,150.0,0.032093293964862823
25.4,25.5,200.0,250.0,0.03193763643503189
29.3,29.4,100.0,150.0,0.031742628663778305
7.9,8.0,100.0,150.0,0.03099094144999981
3.8,3.9,100.0,150.0,0.030913610011339188
29.0,29.1,100.0,150.0,0.030820805579423904
31.6,31.7,100.0,150.0,0.030793040990829468
29.6,29.7,200.0,250.0,0.03063010796904564
13.7,13.8,300.0,350.0,0.030580954626202583
11.1,11.2,100.0,150.0,0.030133822932839394
15.5,15.6,300.0,350.0,0.030122678726911545
4.5,4.6,250.0,300.0,0.029951976612210274
16.1,16.2,100.0,150.0,0.029872115701436996
20.7,20.8,300.0,350.0,0.02977653406560421
14.8,14.9,300.0,350.0,0.02954142354428768
9.2,9.3,400.0,450.0,0.029536398127675056
25.7,25.8,100.0,150.0,0.02925044670701027
17.9,18.0,300.0,350.0,0.0291944220662117
11.4,11.5,300.0,350.0,0.029035240411758423
16.2,16.3,100.0,150.0,0.028958365321159363
29.5,29.6,300.0,350.0,0.0288386233150959
22.3,22.4,100.0,150.0,0.028812814503908157
15.3,15.4,400.0,450.0,0.02871321514248848
11.6,11.7,100.0,150.0,0.02838931232690811
4.2,4.3,400.0,450.0,0.02822684682905674
16.4,16.5,400.0,450.0,0.02820878103375435
20.6,20.7,300.0,350.0,0.02816782146692276
35.0,35.1,250.0,300.0,0.028008636087179184
30.0,30.1,200.0,250.0,0.028004759922623634
12.8,12.9,350.0,400.0,0.0279659703373909
20.4,20.5,100.0,150.0,0.02794869802892208
20.3,20.4,200.0,250.0,0.02792738564312458
3.4,3.5,250.0,300.0,0.027768030762672424
23.2,23.3,400.0,450.0,0.02754351496696472
31.3,31.4,100.0,150.0,0.02746511436998844
18.0,18.1,300.0,350.0,0.027396660298109055
21.3,21.4,400.0,450.0,0.027281450107693672
11.9,12.0,100.0,150.0,0.027274159714579582
26.4,26.5,250.0,300.0,0.026578135788440704
22.2,22.3,400.0,450.0,0.02635647915303707
20.8,20.9,300.0,350.0,0.026312198489904404
6.8,6.9,200.0,250.0,0.026285195723176003
14.5,14.6,200.0,250.0,0.026078782975673676
16.0,16.1,100.0,150.0,0.026062557473778725
34.2,34.3,200.0,250.0,0.025987904518842697
29.4,29.5,100.0,150.0,0.0258772112429142
35.1,35.2,100.0,150.0,0.025838647037744522
26.0,26.1,100.0,150.0,0.02550063282251358
32.6,32.7,300.0,350.0,0.0253168772906065
30.6,30.7,200.0,250.0,0.02508779615163803
17.2,17.3,400.0,450.0,0.02499791979789734
19.1,19.2,200.0,250.0,0.024851731956005096
33.0,33.1,300.0,350.0,0.024812057614326477
8.0,8.1,100.0,150.0,0.024808721616864204
29.7,29.8,100.0,150.0,0.02442791312932968
25.6,25.7,200.0,250.0,0.024312231689691544
4.9,5.0,100.0,150.0,0.024206625297665596
6.1,6.2,300.0,350.0,0.023974314332008362
30.1,30.2,250.0,300.0,0.023920873180031776
6.3,6.4,200.0,250.0,0.023609792813658714
12.3,12.4,200.0,250.0,0.023386768996715546
15.6,15.7,200.0,250.0,0.023334715515375137
24.5,24.6,250.0,300.0,0.0232907235622406
